influencia_idealizada_conducta,influencia_idealizada_atribuida,motivacion_inspiracional,estimulacion_intelectual,consideracion_individualizada,recompensa_contingente,direccion_por_excepcion_activa,direccion_por_excepcion_pasiva,laissez_faire
inspirar,admirar,inspirar,desafiar,mentorizar,recompensar,supervisar,esperar,delegar
liderar ,respetar,motivar,cuestionar,apoyar,premiar,corregir,retrasar,permitir
ejemplificar,confiar,entusiasmar,analizar,escuchar,reconocer,monitorear,aplazar,dejar
demostrar,valorar,alentar,innovar,asesorar,compensar,inspeccionar,omitir,liberar
motivar,emular,animar,pensar,comprender,otorgar,revisar,evitar,soltar
guiar,seguir,impulsar,investigar,ayudar,remunerar,controlar,desatender,abandonar
influenciar,imitar,desafiar,explorar,guiar,gratificar,observar,ignorar,autorizar
promover,estimar,estimular,experimentar,cuidar,incentivar,intervenir,observar,desentenderse
representar,reverenciar,encorajar,descubrir,atender,motivar,ajustar,delegar,ceder
encabezar,idolatrar,energizar,reflexionar,entrenar,valorar,detectar,demorar,consentir
orientar,apreciar,exhortar,diseccionar,orientar,estimar,vigilar,suspender,facilitar
dirigir,enaltecer,impresionar,debatir,facilitar,elogiar,examinar,postergar,otorgar
supervisar,exaltar,excitar,evaluar,acompanar,congratular,evaluar,aplazar,conceder
fortalecer,elogiar,incentivar,sintetizar,supervisar,honrar,analizar,dilatar,soltar
emprender,ensalzar,vigorizar,examinar,motivar,agasajar,verificar,procrastinar,liberar
estimular,venerar,emocionar,escrutar,desarrollar,felicitar,confirmar,detener,permitir
involucrar,honrar,activar,interpretar,fomentar,aplaudir,sancionar,posponer,desligar
transformar,glorificar,avivar,formular,fortalecer,condecorar,advertir,desestimar,delegar
innovar,reconocer,enardecer,hipotetizar,respetar,gratifizar,disciplinar,despreciar,permitir
impulsar,celebrar,elevar,razonar,apreciar,bendecir,regular,dejar,aceptar
facilitar,aplaudir,exaltar,argumentar,valorar,atribuir,identificar,permanecer,dejar
coordinar,encomiar,instigar,deducir,reconocer,apoyar,rectificar,abstenerse,aprobar
mediar,alabar,infundir,inducir,adaptar,celebrar,asegurar,resignar,dejar
consolidar,aclamar,contagiar,conjecturar,personalizar,resaltar,garantizar,abandonar,autorizar
asegurar,loar,reanimar,postular,proteger,destacar,responder,rehuir,permitir
forjar,ovacionar,reactivar,plantear,amparar,fomentar,medir,descuidar,despreocupar
preservar,aprobar,revitalizar,demostrar,apoyar,alentar,registrar,despreocupar,tolerar
potenciar,asentir,fortalecer,comprobar,defender,animar,reportar,aplacar,aceptar
respaldar,consentir,reavivar,verificar,consolar,confirmar,auditar,descontinuar,consentir
distinguir,adoptar,renovar,corroborar,auxiliar,aprobar,asegurar,aplazar,soltar
inculcar,aceptar,resucitar,confirmar,animar,elogiar,ratificar,contener,permitir
fomentar,acoger,regenerar,revisar,alentar,conceder,validar,calmar,desconectar
cultivar,respetar,revivir,inspeccionar,educar,entregar,aprobar,tranquilizar,renunciar
construir,considerar,emular,diagnosticar,ensenar,regalar,documentar,relajar,permanecer
materializar,evocar,provocar,elucidar,capacitar,distinguir,seguir,soslayar,observar
realizar,concordar,evocar,ilustrar,informar,ofrecer,cumplir,olvidar,mirar
proyectar,coincidir,recordar,aclarar,aclarar,proveer,proteger,ausentarse,ausentarse
manifestar,adherir,rememorar,detallar,explicar,asegurar,custodiar,eximir,eximir
validar,unir,remembrar,informar,sostener,garantizar,guardar,excluir,excluir
capacitar,proteger,despertar,documentar,instruir,respaldar,preservar,sustraer,sustraer
superar,defender,suscitar,explicar,formar,subvencionar,mantener,desechar,desechar
reconocer,garantizar,fomentar,ensenar,entender,sostener,conservar,rehuir,dejar
enfrentar,respaldar,nutrir,aprender,simpatizar,avalar,sostener,eludir,relevar
valorar,abrigar,abonar,instruir,solidarizar,ratificar,sustentar,desvincular,descuidar
desarrollar,sostener,desarrollar,educar,interesarse,validar,apoyar,apartar,olvidar
implementar,sustentar,gestar,capacitar,compadecer,proteger,respaldar,cesar,distraer
perseverar,promover,crear,entrenar,empatizar,cuidar,auxiliar,parar,ceder
establecer,patrocinar,producir,actualizar,socorrer,salvaguardar,socorrer,descansar,dejar
sostener,apadrinar,generar,orientar,resguardar,resguardar,ayudar,interrumpir,relajar
adaptar,amparar,concebir,guiar,auspiciar,asegurar,asistir,replegar,tranquilizar
proteger,favorecer,idear,dirigir,tutelar,amparar,orientar,tolerar,aflojar
mantener,impulsar,formular,consultar,vigilar,defender,guiar,soportar,abandonar
cumplir,apoyar,inventar,asesorar,suplir,certificar,dirigir,aguantar,desatender
influir,alentar,disenar,mentorear,guiar,verificar,coordinar,consentir,esperar
articular,animar,elaborar,recomendar,sustentar,confirmar,organizar,permitir,aplazar
motivar,motivar,componer,sugerir,acomodar,comprobar,gestionar,dejar,dilatar
comprometer,estimular,estructurar,proponer,intervenir,subrayar,administrar,conceder,aplacar
colaborar,incitar,planear,indicar,participar,remarcar,implementar,contemplar,aplazar
interactuar,provocar,orquestar,apuntar,involucrar,aclamar,ejecutar,asumir,descontinuar
articular,fomentar,organizar,detectar,motivar,exaltar,desempenar,intentar,soslayar
conectar,cultivar,preparar,identificar,confiar,ensalzar,realizar,meditar,olvidar
cooperar,conservar,disponer,resolver,encargar,proclamar,cumplir,reflexionar,rehuir
disenar,preservar,articular,solucionar,delegar,reverenciar,resolver,pensar,eludir
ejecutar,mantener,enfocar,crear,supervisar,venerar,solucionar,considerar,desvincular
gestionar,prolongar,dirigir,producir,planear,enaltecer,intervenir,ponderar,apartar
guiar,perpetuar,coordinar,generar,coordinar,engrandecer,participar,evaluar,cesar
implementar,perdurar,administrar,concebir,organizar,magnificar,involucrar,sopesar,parar
innovar,sustentar,gestionar,formular,proveer,glorificar,decidir,prever,descansar
institucionalizar,auxiliar,manejar,elaborar,disponer,apreciar,gestionar,calcular,interrumpir
integrar,ayudar,controlar,disenar,preparar,ponderar,manejar,detenerse,replegar
intensificar,socorrer,supervisar,planificar,suministrar,alabar,responder,replantear,permanecer
liderar,colaborar,vigilar,estructurar,ofrecer,ovacionar,reparar,reformular,retirarse
optimizar,cooperar,custodiar,organizar,gestionar,aclamar,restaurar,renunciar,renunciar
planificar,contribuir,guardar,orquestar,administrar,loar,reponer,archivar,contemplar
preparar,intervenir,proteger,administrar,resolver,aclamar,mejorar,arrinconar,abstenerse
promocionar,participar,defender,gestionar,atender,apoyar,optimizar,excusar,resignar
proveer,involucrar,preservar,manejar,cuidar,subrayar,potenciar,justificar,resignarse
realizar,comprometer,mantener,controlar,sanar,afirmar,incrementar,soltar,rendir
reforzar,dedicar,conservar,supervisar,curar,respetar,aumentar,desistir,someter
resolver,entregar,sostener,vigilar,asistir,constatar,fortalecer,despedir,soltar
responsabilizar,esforzar,sustentar,custodiar,impulsar,justificar,intensificar,liberar,ceder
satisfacer,trabajar,apoyar,proteger,estimular,abonar,reforzar,retirarse,entregar
servir,producir,respaldar,defender,integrar,pagar,promover,desactivar,rendirse
sostener,desempenar,auxiliar,preservar,incluir,dar,impulsar,cerrar,permisivo
supervisar,realizar,socorrer,mantener,aceptar,retribuir,fomentar,concluir,liberador
suscitar,ejecutar,ayudar,conservar,escuchar,financiar,motivar,terminar,relajado
transmitir,cumplir,asistir,sostener,hablar,sostener,estimular,cesar,flexible
unificar,lograr,atender,sustentar,conversar,proporcionar,capacitar,separar,autonomo
valorar,obtener,cuidar,apoyar,dialogar,facilitar,entrenar,apartarse,independiente
vigilar,alcanzar,colaborar,respaldar,consultar,colaborar,educar,pasivo,pasivo
visualizar,triunfar,cooperar,auxiliar,negociar,cooperar,informar,reactivo,desentendido
vivenciar,tener exito,contribuir,socorrer,mediar,donar,ensenar,negligente,despreocupado
voluntariar,ganar,intervenir,ayudar,relacionar,subvencionar,instruir,tardio,tolerante
votar,victorioso,participar,asistir,interaccionar,beneficiar,documentar,inactivo,liberal
inspirador,prevalecer,involucrar,atender,comprender,propiciar,preparar,inerte,laxo
ejemplar,dominar,comprometer,cuidar,apoyar,auxiliar,actualizar,relajado,desentendido
etico,superar,dedicar,colaborar,colaborar,servir,vigilante,aplazado,permisivo
carismatico,vencer,entregar,cooperar,cooperar,recompensador,atento,despreocupado,relajado
confiable,ganar,esforzar,contribuir,contribuir,gratificante,proactivo,desatento,flexible
admirable,admirable,trabajar,intervenir,comprensivo,incentivador,preventivo,indiferente,autonomo
respetado,carismatico,producir,participar,empatico,motivador,correctivo,lento,independiente
integro,respetado,desempenar,involucrar,atento,justo,detallado,remiso,relajado
consistente,confiable,realizar,analitico,solidario,equitativo,minucioso,indolente,permisivo
firme,honorable,ejecutar,innovador,cuidadoso,compensador,escrupuloso,desidioso,liberador
decidido,venerado,cumplir,curioso,considerado,valorado,cuidadoso,descuidado,autonomo
convincente,estimado,inspirador,reflexivo,paciente,premiado,meticuloso,desprevenido,independiente
persuasivo,imitable,motivador,inquisitivo,dedicado,apreciado,riguroso,desapercibido,pasivo
honesto,valorado,entusiasta,intelectual,personalizado,honrado,severo,indiferente,desatento
transparente,reverenciado,alentador,critico,amigable,distinguido,estricto,perezoso,indiferente
leal,emulable,animado,racional,afectuoso,felicitado,sistematico,ausente,relajado
dedicado,digno,energetico,creativo,tierno,congratulador,disciplinado,omiso,laxo
comprometido,admirativo,desafiante,logico,protector,bendecido,organizado,imprudente,liberal
entregado,honesto,estimulante,investigativo,benevolente,reconocido,metodico,improductivo,flexible
diligente,integro,vigoroso,experimental,caritativo,aplaudido,estructurado,desprevenido,distante
responsable,etico,apasionado,descubridor,solicito,condecorado,planificado,descuidado,separado
disciplinado,diligente,excitado,reflexionador,servicial,estimado,previsor,desordenado,desconectado
organizado,responsable,incentivador,disecador,compasivo,distinguidor,estrategico,negligente,imparcial
metodico,dedicado,emocionante,debatidor,humanitario,apoyador,analitico,retrasado,objetivo
estrategico,comprometido,activador,evaluador,interesado,celebrador,observador,diferido,neutro
visionario,leal,exhortador,sintetizador,comprensivo,fomentador,critico,aplazado,indiferente
innovador,integro,impresionante,examinador,respetuoso,animador,racional,postergado,displicente
creativo,honesto,contagioso,escrutador,tolerante,alabador,logico,dilatorio,apatico
original,transparente,reanimador,interpretador,carinoso,celebrante,objetivo,procrastinador,perezoso
proactivo,leal,reactivador,formulador,generoso,concedente,confiable,remiso,relajado
dinamico,decidido,revitalizador,hipotetizador,altruista,entregador,responsable,flojo,tolerante
emprendedor,convincente,fortalecedor,razonador,desinteresado,otorgador,consistente,vago,indulgente
resolutivo,persuasivo,renovador,argumentador,fiel,regalador,etico,perezoso,sosegado
eficaz,firme,resucitador,deductor,leal,donador,integro,indolente,pasivo
eficiente,seguro,regenerador,inductor,sensible,ofrecente,justo,relajado,relajado
productivo,solido,revivificante,conjecturador,prudente,proveedor,equitativo,negligente,despreocupado
rentable,confiado,emulador,postulador,reflexivo,asegurador,imparcial,despreocupado,tolerante
competente,entregado,provocador,planteador,cooperador,garante,honesto,indolente,flexible
capaz,impulsor,evocador,demostrador,colaborativo,respaldador,transparente,indiferente,negligente
habil,resolutivo,recordador,comprobador,inclusivo,subvencionador,leal,desatento,descuidado
experto,eficaz,rememorativo,verificador,asertivo,sostenedor,diligente,imprudente,irresponsable
profesional,eficiente,despertador,corroborador,dialogante,avalador,dedicado,desconsiderado,despreocupado
calificado,productivo,suscitador,confirmador,cordial,ratificador,comprometido,irresponsable,desconectado
preparado,rentable,fomentador,revisor,educado,validador,esforzado,descuido,apatico
instruido,competente,nutritivo,inspector,amable,protector,eficaz,apatico,indiferente
educado,capaz,abonador,diagnosticador,simpatico,cuidante,eficiente,desmotivado,negligente
culto,habilidoso,desarrollador,elucidator,calido,salvaguardador,productivo,desinteresado,descuidado
sabio,profesional,gestador,ilustrador,hospitalario,resguardador,competente,desvinculado,despreocupado
inteligente,calificado,creador,aclarador,confiado,certificador,capaz,separado,laxo
astuto,capacitado,productor,detallador,optimista,verificador,habil,desconectado,liberal
ingenioso,preparado,generador,informador,comunicativo,confirmador,experto,alejado,flexible
perspicaz,formado,concebidor,documentador,franco,comprobador,profesional,distante,despreocupado
lucido,educado,ideador,explicador,transparente,subrayador,calificado,apatico,desatento
sagaz,culto,formulador,ensenador,honesto,remarcador,preparado,impasible,indiferente
audaz,sabio,inventivo,aprendedor,leal,afirmador,instruido,impasivo,relajado
valiente,inteligente,disenador,instructor,fiel,respetador,educado,indiferente,flexible
osado,astuto,elaborador,educador,devoto,reverenciador,culto,desinteresado,liberal
atrevido,ingenioso,compositor,capacitador,apasionado,venerador,sabio,neutro,laxo
decisivo,perspicaz,estructurador,entrenador,entregado,enaltecedor,inteligente,imparcial,negligente
seguro,lucido,planeador,actualizador,sincero,engrandecedor,astuto,objetivo,indiferente
autonomo,sagaz,orquestador,orientador,comprensivo,magnificador,ingenioso,inactivo,relajado
independiente,audaz,organizador,guia,tolerante,glorificador,perspicaz,reposado,permisivo
versatil,valiente,preparador,director,respetuoso,ponderador,lucido,estatico,tolerante
adaptable,osado,disponente,consultor,valiente,alabador,sagaz,quieto,indulgente
flexible,atrevido,articulador,asesor,valeroso,ovacionador,audaz,calmo,paciente
modificable,decisivo,enfocador,mentor,audaz,justificante,valiente,tranquilo,relajado
transformable,seguro,dirigente,recomendador,decidido,abonador,osado,relajado,desentendido
evolutivo,autonomo,coordinador,sugeridor,sereno,pagador,atrevido,apacible,flexible
progresivo,independiente,administrador,proponedor,tranquilo,dador,decisivo,sosegado,despreocupado
vanguardista,adaptable,gestor,indicador,paciente,retribuidor,seguro,descansado,tolerante
revolucionario,flexible,manejor,apuntador,persistente,financiador,autonomo,sereno,indulgente
pionero,modificable,controlador,detectador,tenaz,sostenedor,independiente,paciente,afable
precursor,transformable,supervisor,identificador,perseverante,proporcionador,versatil,tolerante,libertad
lider,evolutivo,vigilante,resolucionador,resiliente,facilitador,adaptable,indulgente,autonomia
director,progresivo,custodio,solucionador,adaptable,colaborador,flexible,permisivo,independencia
jefe,vanguardista,guardian,creador,flexible,cooperador,innovador,benigno,flexibilidad
gerente,revolucionario,protector,productor,innovador,donador,creativo,complaciente,descentralizacion
administrador,pionero,defensor,generador,creativo,beneficiador,original,afable,delegacion
coordinador,precursor,preservador,concebidor,proactivo,propiciador,proactivo,considerado,permisividad
supervisor,lider,mantenedor,elaborador,dinamico,auxiliador,dinamico,supervision,no intervencion
capitan,director,conservador,disenador,emprendedor,servidor,emprendedor,control,despreocupacion
comandante,jefe,sostenedor,planificador,metodico,congratulador,resolutivo,evaluacion,desregulacion
presidente,gerente,sustentador,estructurador,organizado,animador,eficaz,monitoreo,tolerancia
integridad,administrador,apoyador,organizador,estructurado,motivador,eficiente,correccion,relajacion
honestidad,coordinador,respaldador,orquestador,planificado,celebrador,productivo,inspeccion,desvinculacion
confianza,supervisor,auxiliador,administrador,previsor,premiante,rentable,vigilancia,pasividad
respeto,capitan,socorredor,gestor,estrategico,alabador,competente,observacion,inaccion
admiracion,comandante,ayudador,manejor,analitico,elevador,capaz,intervencion,desinteres
etica,presidente,asistente,controlador,observador,potenciador,habil,analisis,indiferencia
moralidad,carisma,atendedor,supervisor,critico,resaltador,profesional,diagnostico,omision
valor,atraccion,cuidador,vigilante,racional,incentivo,calificado,seguimiento,abandono
lealtad,magnetismo,colaborador,custodio,logico,premio,preparado,prevencion,desidia
compromiso,personalidad,cooperador,protector,objetivo,bonificacion,instruido,deteccion,apatia
inspiracion,presencia,contribuidor,defensor,atencion,reconocimiento,educado,accion,negligencia
ejemplo,atractivo,interventor,preservador,apoyo,compensacion,culto,resolucion,desatencion
responsabilidad,confianza,participante,mantenedor,cuidado,gratificacion,sabio,rectificacion,libertad
coraje,inspiracion,involucrador,conservador,empatia,beneficio,inteligente,ajuste,autonomia
sacrificio,modelo,comprometedor,sostenedor,comprension,comision,analitico,modificacion,permisividad
liderazgo,lider,dedicado,sustentador,escucha,pago,observador,mejoramiento,pasividad
autoridad,admiracion,entregado,apoyador,reconocimiento,remuneracion,critico,evaluacion,indiferencia
credibilidad,respeto,esforzado,respaldador,respeto,recompensa,racional,revision,desinteres
dignidad,autoridad,vision,auxiliador,sensibilidad,retribucion,supervision,examen,inaccion
rectitud,figura,inspiracion,socorredor,solidaridad,salario,control,auditoria,omision
noblesse,ejemplo,esperanza,ayudador,orientacion,sueldo,evaluacion,supervision,abandono
consistencia,estatura,pasion,asistente,mentoria,gratificacion,monitoreo,fiscalizacion,tolerancia
transparencia,prestigio,entusiasmo,atendedor,asesoramiento,agradecimiento,correccion,control,relajacion
justicia,influencia,energia,cuidador,desarrollo,valoracion,inspeccion,coordinacion,desvinculacion
sinceridad,poder,optimismo,colaborador,crecimiento,apreciacion,vigilancia,gestion,desregulacion
fidelidad,reputacion,determinacion,cooperador,motivacion,merito,observacion,administracion,descentralizacion
empatia,distincion,conviccion,contribuidor,inspiracion,logro,intervencion,planificacion,delegacion
solidaridad,excelencia,proposito,interventor,individualidad,consecucion,analisis,organizacion,inaccion
altruismo,grandeza,sueno,participante,personalizacion,cumplimiento,diagnostico,ejecucion,desinteres
decencia,honor,meta,involucrador,compasion,resultado,seguimiento,implementacion,omision
principios,nobleza,objetivo,creatividad,cercania,desempeno,prevencion,direccion,negligencia
valores,relevancia,estrategia,innovacion,confianza,productividad,deteccion,liderazgo,desatencion
disciplina,fama,mision,pensamiento,consuelo,eficiencia,accion,conduccion,apatia
humildad,gloria,compromiso,ideas,empoderamiento,eficacia,resolucion,estrategia,despreocupacion
gravedad,dignidad,aliento,conocimiento,equidad,exito,rectificacion,tactica,abandono
seriedad,valentia,fuerza,razonamiento,inclusion,alcance,ajuste,metodo,permisividad
coherencia,integridad,creencia,analisis,igualdad,realizacion,modificacion,proceso,libertad
prudencia,honestidad,mensaje,estrategia,respeto,superacion,mejoramiento,procedimiento,autonomia
determinacion,sabiduria,narrativa,soluciones,soporte,progreso,evaluacion,regulacion,flexibilidad
templanza,inspiracion,direccion,descubrimiento,atencion,avance,revision,normativa,tolerancia
moderacion,mentor,inspiracion,investigacion,cuidado,contribucion,examen,politica,despreocupacion
autenticidad,protagonismo,motivacion,experimento,consideracion,esfuerzo,auditoria,lineamiento,desregulacion
compasion,credibilidad,espiritu,ciencia,tolerancia,trabajo,supervision,directiva,delegacion
devocion,respeto,liderazgo,tecnologia,paciencia,dedicacion,fiscalizacion,orden,descentralizacion
equidad,reconocimiento,modelo,invencion,sinceridad,compromiso,control,mandato,pasividad
fraternidad,excelencia,desafio,concepto,lealtad,responsabilidad,coordinacion,instruccion,inaccion
generosidad,resiliencia,ambicion,hipotesis,proteccion,deber,gestion,orientacion,desvinculacion
humanidad,liderazgo,tenacidad,teoria,aliento,obligacion,administracion,guia,abandono
integridad,autoridad,superacion,aprendizaje,amistad,metas,planificacion,normas,omision
justicia,gracia,transformacion,estudio,cooperacion,objetivos,organizacion,reglas,indiferencia
lealtad,empatia,creatividad,desarrollo,colaboracion,propositos,ejecucion,criterios,desinteres
magnanimidad,generosidad,innovacion,progreso,solidaridad,expectativas,implementacion,parametros,desatencion
moralidad,caracter,perseverancia,educacion,fraternidad,resultados,direccion,estandares,apatia
rectitud,espiritu,resiliencia,formacion,hermandad,evaluacion,liderazgo,especificaciones,desidia
respeto,presencia,foco,entrenamiento,ayuda,analisis,conduccion,indicaciones,negligencia
sabiduria,templanza,claridad,sabiduria,asistencia,medicion,estrategia,senalamiento,despreocupacion
serenidad,consistencia,determinacion,informacion,beneficencia,control,tactica,senales,permisividad
solidaridad,lealtad,confianza,datos,beneficio,supervision,metodo,notificacion,libertad
tolerancia,fortaleza,seguridad,evidencia,bondad,direccion,proceso,alerta,autonomia
valentia,valentia,esperanza,prueba,caridad,gestion,procedimiento,advertencia,flexibilidad
voluntad,responsabilidad,sueno,exploracion,compromiso,administracion,regulacion,informacion,tolerancia
virtud,autenticidad,plan,discusion,confianza,liderazgo,normativa,comunicacion,delegacion
autodisciplina,serenidad,horizonte,debate,consuelo,coordinacion,politica,informe,desvinculacion
benevolencia,prudencia,futuro,pensamiento critico,cuidado,organizacion,lineamiento,reporte,descentralizacion
confiabilidad,justicia,liderazgo,reflexion,devocion,planificacion,directiva,registro,desregulacion
consideracion,tolerancia,dinamica,imaginacion,diligencia,estrategia,orden,documentacion,pasividad
constancia,sabiduria,inspiracion,curiosidad,discrecion,tactica,mandato,archivo,abandono
coraje,compasion,meta,investigacion,disponibilidad,procedimiento,instruccion,expediente,indiferencia
cortesia,determinacion,objetivo,creatividad,entrega,metodo,orientacion,certificacion,inaccion
delicadeza,vision,estrategia,originalidad,esfuerzo,sistema,guia,validacion,omision
devocion,conviccion,mision,innovacion,fidelidad,modelo,normas,aprobacion,desatencion
diligencia,fe,proyecto,ingenio,generosidad,plan,reglas,licencia,desidia
discernimiento,optimismo,desafio,perspicacia,humanidad,proyecto,criterios,permiso,negligencia
discrecion,decision,motivacion,descubrimiento,interes,programa,parametros,concesion,apatia
empatia,pasion,creatividad,proceso,lealtad,actividad,estandares,autorizacion,despreocupacion
equilibrio,compromiso,innovacion,metodo,nobleza,tarea,especificaciones,aval,desvinculacion
fidelidad,abnegacion,superacion,estrategia,proteccion,funcion,indicaciones,ratificacion,libertad
franqueza,humildad,transformacion,proyecto,prudencia,rol,senalamiento,confirmacion,autonomia
generosidad,solidaridad,exito,analisis,resiliencia,cargo,senales,homologacion,flexibilidad
gratitud,sinceridad,realizacion,evaluacion,respeto,posicion,notificacion,control,delegacion
honradez,altruismo,logro,diagnostico,sacrificio,puesto,alerta,supervision,descentralizacion
humanidad,valentia,alcance,solucion,servicio,desempeno,advertencia,fiscalizacion,desregulacion
iluminacion,firmeza,ambicion,hipotesis,solidaridad,responsabilidad,informacion,revision,tolerancia
imparcialidad,claridad,tenacidad,conclusion,ternura,autoridad,comunicacion,auditoria,despreocupacion
justicia,voluntad,firmeza,paradigma,tolerancia,supervision,informe,inspeccion,pasividad
lealtad,sabiduria,persistencia,propuesta,valentia,control,reporte,evaluacion,inaccion
mente abierta,honor,esfuerzo,concepto,verdad,monitoreo,registro,correccion,omision
misericordia,prudencia,trabajo,experiencia,voluntad,seguimiento,documentacion,intervencion,nan
nobleza,equilibrio,compromiso,observacion,zelo,evaluacion,archivo,ajuste,nan
piedad,humanidad,pasion,tesis,sensibilidad,retroalimentacion,expediente,modificacion,nan
prudencia,respeto,determinacion,monografia,discrecion,revision,certificacion,rectificacion,nan
rectitud,gratitud,fuerza,informe,consideracion,informe,validacion,mejoramiento,nan
respeto,disciplina,conviccion,articulo,estima,reporte,aprobacion,accion,nan
responsabilidad,respeto,fe,publicacion,proteccion,registro,licencia,resolucion,nan
sacrificio,serenidad,creencia,libro,cordialidad,documentacion,permiso,diagnostico,nan
sabiduria,virtud,mensaje,ensayo,asistencia,archivo,concesion,analisis,nan
sinceridad,sabiduria,narrativa,critica,amabilidad,expediente,autorizacion,nan,nan
templanza,fraternidad,direccion,opinion,paciencia,dossier,aval,nan,nan
valentia,serenidad,proposito,razonamiento,sinceridad,carpeta,ratificacion,nan,nan
veracidad,solidaridad,vision,argumento,serenidad,informe,confirmacion,nan,nan
nan,dignidad,aliento,debate,empatia,acta,homologacion,nan,nan
nan,equidad,inspiracion,discusion,solidaridad,certificado,control,nan,nan
nan,fidelidad,entusiasmo,pensamiento,esfuerzo,constancia,supervision,nan,nan
nan,generosidad,energia,idea,colaboracion,validacion,fiscalizacion,nan,nan
nan,grandeza,optimismo,conclusion,compromiso,aprobacion,revision,nan,nan
nan,honestidad,sueno,reflexion,fraternidad,reconocimiento,auditoria,nan,nan
nan,nan,objetivo,meditacion,generosidad,recompensa,inspeccion,nan,nan
nan,nan,meta,filosofia,ayuda,nan,evaluacion,nan,nan
nan,nan,plan,teoria,bondad,nan,correccion,nan,nan
nan,nan,horizonte,hipotesis,tolerancia,nan,intervencion,nan,nan
nan,nan,futuro,conocimiento,nan,nan,ajuste,nan,nan
nan,nan,dinamica,ciencia,nan,nan,modificacion,nan,nan
nan,nan,estrategia,saber,nan,nan,rectificacion,nan,nan
nan,nan,mision,informacion,nan,nan,mejoramiento,nan,nan
nan,nan,proyecto,comprension,nan,nan,accion,nan,nan
nan,nan,desafio,entendimiento,nan,nan,resolucion,nan,nan
nan,nan,meta,claridad,nan,nan,diagnostico,nan,nan
nan,nan,liderazgo,perspectiva,nan,nan,analisis,nan,nan
nan,nan,nan,vision,nan,nan,nan,nan,nan
nan,nan,nan,inspiracion,nan,nan,nan,nan,nan
nan,nan,nan,innovacion,nan,nan,nan,nan,nan
nan,nan,nan,originalidad,nan,nan,nan,nan,nan
nan,nan,nan,creatividad,nan,nan,nan,nan,nan
nan,nan,nan,descubrimiento,nan,nan,nan,nan,nan
nan,nan,nan,exploracion,nan,nan,nan,nan,nan
nan,nan,nan,investigacion,nan,nan,nan,nan,nan
nan,nan,nan,analisis,nan,nan,nan,nan,nan
nan,nan,nan,diagnostico,nan,nan,nan,nan,nan
nan,nan,nan,evaluacion,nan,nan,nan,nan,nan
nan,nan,nan,solucion,nan,nan,nan,nan,nan
